ID,Question,Difficulty,A,B,C,D,Correct Answer
1,Which diagram describes system structure?,1,Class Diagram,Sequence Diagram,State Diagram,Use-Case Flow,A
2,What does UML stand for?,1,Unified Modeling Language,User Machine Link,Universal Model Layout,Unmodified Mapping Logic,A
3,In MVC which component handles user actions?,1,Model,View,Controller,Database,C
4,What is the main purpose of Requirements Analysis?,1,To write code,To understand what the customer needs,To design test cases,To evaluate staff performance,B
5,Which diagram shows how users interact with the system?,1,Class Diagram,Use Case Diagram,Sequence Diagram,State Diagram,B
6,In MVC which component handles user input?,2,Model,View,Controller,Database,C
7,What is the main goal of requirements analysis?,2,Write source code,Understand customer needs,Design UI screens,Run test cases,B
8,Which testing level focuses on interactions between modules?,2,Unit Testing,Integration Testing,System Testing,Acceptance Testing,B
9,What is black-box testing based on?,2,Source code structure,Internal logic,System requirements and behavior,CPU architecture,C
10,Which UML diagram represents object interactions over time?,2,Class Diagram,Deployment Diagram,Component Diagram,Sequence Diagram,D
11,What is the purpose of a software review?,2,Find defects early,Replace testing,Generate code automatically,Improve hardware performance,A
12,What is cyclomatic complexity used for?,3,Counting requirements,Calculating memory usage,Measuring UI quality,Estimating number of test paths,D
13,Which testing technique focuses on input boundaries?,3,Boundary Value Analysis,Regression Testing,Statement Coverage,Equivalence Partitioning,A
14,What is the main purpose of integration testing?,3,Check UI colors,Measure execution time,Ensure components work together,Test individual methods,C
15,Which architecture style emphasizes separation into layers?,3,Microservices,Layered Architecture,Peer-to-Peer,Event-Driven,B
16,What does regression testing ensure?,3,UI is responsive,New features work,Old functionality still works after changes,Database is normalized,C
17,Which document links requirements to test cases?,3,Traceability Matrix,Deployment Diagram,User Manual,Source Code,A
18,Which coverage criterion requires all branches to be executed?,4,UI Coverage,Path Coverage,Statement Coverage,Branch Coverage,D
19,What is refactoring?,4,Improving internal code without changing behavior,Adding new features,Fixing requirements errors,Optimizing hardware,A
20,In an inspection review who leads the process?,4,Moderator,Developer,Customer,Tester,A
21,Which testing technique reduces test cases by grouping similar inputs?,4,Boundary Value Analysis,Equivalence Partitioning,Regression Testing,Stress Testing,B
22,What is a key risk of skipping software reviews?,4,Lower development cost,Faster testing cycles,More defects reaching later stages,Better documentation,C
23,"What is ""Black Box"" testing based on?",1,The internal code structure,The system's specifications,The programming language,The database design,B
24,Which statement about software correctness is TRUE?,4,Correct code guarantees a correct system,Testing proves the absence of bugs,Correctness depends on correct specifications,Black-Box testing alone is sufficient,C
25,Why do we use Equivalence Classes?,1,To test every input value,To reduce the number of test cases,To increase program complexity,To avoid testing,B
